utterance,speaker,context,context_speakers,show,sarcasm
"Sure, cut the foreigner in half. There's a billion more where he came from.",RAJ,"[""And I cannot believe people pay for horoscopes, but on a more serious note, it's 8:13 and we're still not playing Halo."", ""Fine. We'll just play one-on-one until he gets back."", ""One-on-one? We don't play one-on-one."", 'We play teams, not one-on-one.', 'One-on-one.', 'The only way we can play teams at this point is if we cut Raj in half.']","['SHELDON', 'LEONARD', 'SHELDON', 'SHELDON', 'SHELDON', 'LEONARD']",BBT,True
"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",RAJ,"['Do you really need the Honorary Justice League of American membership card?', ""It's been in every wallet I've owned since I was five."", 'Why?', 'It says, ""Keep this on your person at all times.""', ""It's right here under Batman's signature."", ""and this is Leonard and Sheldon's apartment."", 'Guess whose parents just got broadband.']","['LEONARD', 'SHELDON', 'LEONARD', 'SHELDON', 'SHELDON', 'RAJ', 'HOWARD']",BBT,False
"Well, I'm sorry, too, but there's just no room for you in my wallet.",SHELDON,"['This is Dr. Sheldon Cooper.', 'Yeah, I need to cancel my membership to the planetarium.']","['SHELDON', 'SHELDON']",BBT,True
"I've got some feelers out. In the meantime, listen to this.",RAJ,"[""but it was between you and the Museum of Natural History, and frankly, you don't have dinosaurs."", ""I'll miss you, too. Bye-bye."", ""Okay, I know you're texting about me and I'd really like you to stop."", 'Oh, dear, I am rightly and truly screwed.', 'Hey, I thought you were finding new friends.']","['SHELDON', 'SHELDON', 'SHELDON', 'RAJ', 'LEONARD']",BBT,False
That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,SHELDON,"['When I was a little boy and got sick, which was most of the time, my mother would read it to me.', ""It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different."", 'For some reason, I related to it quite strongly.', 'I know the reason.', 'We all know the reason.', 'Sheldon, what are you getting at?']","['SHELDON', 'SHELDON', 'SHELDON', 'PENNY', 'LEONARD', 'LEONARD']",BBT,False
Not to mention you'd have to power down on saturdays.,SHELDON,"[""I'm with you. I just have to make sure if I'm a synthetic human I'd still be Jewish."", 'I promised my mother.', 'I suppose you could have your android penis circumcised.', ""But that's something your rabbi would have to discuss with the manufacturer.""]","['HOWARD', 'HOWARD', 'RAJ', 'RAJ']",BBT,False
"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",SHELDON,"['I promised my mother.', 'I suppose you could have your android penis circumcised.', ""But that's something your rabbi would have to discuss with the manufacturer."", ""Not to mention you'd have to power down on saturdays."", 'Sheldon, why is this letter in the trash?']","['HOWARD', 'RAJ', 'RAJ', 'SHELDON', 'LEONARD']",BBT,True
"Technically, yes. But, if you'll notice... It's reversible!",LEONARD,"[""Because it's not a costume, it's a flight suit."", 'Ok, alright, moving on.', 'Oh, wow. A paisley shirt.', 'It goes with my corduroy suit.', 'If you mean it should end up in the same place, then I agree.', 'Is this your only tie?']","['LEONARD', 'PENNY', 'PENNY', 'LEONARD', 'PENNY', 'PENNY']",BBT,False
Just the latest copy of Applied Particle Physics quarterly.,SHELDON,"['Hey Sheldon.', 'Hello Penny.', 'Get anything good?']","['PENNY', 'SHELDON', 'PENNY']",BBT,True
"Oh, you know, that is so weird that yours came and mine didn't.",PENNY,"['Hey Sheldon.', 'Hello Penny.', 'Get anything good?', 'Just the latest copy of Applied Particle Physics quarterly.']","['PENNY', 'SHELDON', 'PENNY', 'SHELDON']",BBT,True
Do you think Penny will come here and take care of us?,SHELDON,['I want grilled cheese.'],['SHELDON'],BBT,False
"- Now?! - No, after my tongue has swollen to the size of a brisket!",HOWARD,"['Take that!', ""What's the matter?"", 'This granola bar has peanuts in it!', 'Oh, my God. Why did you eat it?', ""I don't know. It was just there!"", 'If I had a gun there, would you have shot yourself?', ""Don't yell at me! I've got to go to the emergency room!""]","['LEONARD', 'LEONARD', 'HOWARD', 'LEONARD', 'HOWARD', 'LEONARD', 'HOWARD']",BBT,True
"What else? Sell it on eBay as ""slightly used.""",RAJ,"[""Or maybe she just doesn't want to talk."", 'Look, I found an iPod!', ""It's smashed beyond repair. What are you gonna do with it?""]","['SHELDON', 'RAJ', 'HOWARD']",BBT,False
"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",HOWARD,"[""It's smashed beyond repair. What are you gonna do with it?"", 'What else? Sell it on eBay as ""slightly used.""', ""It was Penny's boyfriend's, they broke up."", 'Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere.', ""I'm gonna go back and try talking to her again.""]","['HOWARD', 'RAJ', 'LEONARD', 'HOWARD', 'LEONARD']",BBT,True
"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",SHELDON,"[""Are you saying that you've been holding back?"", 'Of course. Out of respect.', 'So, how do you explain the ten years before Penny?', 'Who were you respecting then?', ""Well, I've dated plenty of women."", 'There was Joyce Kim, Leslie Winkle']","['HOWARD', 'LEONARD', 'HOWARD', 'RAJ', 'LEONARD', 'LEONARD']",BBT,True
"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",SHELDON,"['Pastries such as bear claws?', 'Yeah, sure.', ""I don't like bear claws."", 'Hey, Penny.', 'Dumbass.', 'Leslie Winkle.', 'Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle?', ""They have a lot in common. I mean, they're both scientists.""]","['SHELDON', 'PENNY', 'SHELDON', 'PERSON', 'PERSON', 'SHELDON', 'SHELDON', 'PENNY']",BBT,True
I think tonight was a very good start.,LEONARD,"[""I'm sorry about all of Sheldon's interruptions.\nHe can be a bit of an eccentric."", 'If by ""eccentric"" you mean passive-aggressive East Texas blowhole, I agree.']","['LEONARD', 'PERSON']",BBT,False
"I'm sorry, I am not going back to the Renaissance fair.",SHELDON,"[""That's enough."", 'Call me.', 'Right.', 'Okay, good night.', 'What?', 'Had a great time. Ciao.']","['PERSON1', 'PERSON1', 'LEONARD', 'PENNY', 'PERSON2', 'PENNY']",BBT,False
You were very clear. As was everyone else at the table.,SHELDON,"['Leonard, this is Tom.', 'Hi, Tom. Sheldon?', ""Didn't I explain to you about your little mistake in the cafeteria?""]","['SHELDON', 'LEONARD', 'LEONARD']",BBT,False
"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",HOWARD,"[""They're going to digitally add a supernova.\nThey say it's the perfect metaphor for my incandescent talent."", 'Right, a ball of hot, flaming gas that collapses upon itself.', ""Excuse me. Oh, it's my assistant, Trevor."", 'Go for Koothrappali.']","['RAJ', 'SHELDON', 'RAJ', 'RAJ']",BBT,True
"Maybe when I publish it, I'll include an inhaler.",SHELDON,"[""Excuse me, Dr. Cooper. I'm Kathy O'Brien."", 'I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away.']","['PERSON', 'PERSON']",BBT,True
I don't know. It just died. I'm getting a bunch of static.,PENNY,"['Hey, guys, I need to use your TV.', ""What's wrong with your TV?""]","['PENNY', 'SHELDON']",BBT,False
"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",HOWARD,"['Did I miss anything? Did they kick Giselle off?', 'Not yet, but her underwater photo shoot was an embarrassment.']","['LEONARD', 'RAJ']",BBT,True
The big deal is that nobody touches food on my plate.,SHELDON,"['Who touched my…', 'Penny! Penny did it.', 'Why would you do that?', ""I don't know. I was hungry?\nWhat's the big deal?""]","['SHELDON', 'HOWARD', 'SHELDON', 'PENNY']",BBT,False
On a dusty highway just outside Bakersfield. Where do you think? On Mars!,HOWARD,"['Will you at least stipulate that Star Trek IV: The Voyage Home is inarguably the best?', 'I have three words for you: Wrath of Khan.', ""Thank God, you're here."", ""What's the emergency?"", 'I got the Mars Rover stuck in a ditch.', 'Where?']","['SHELDON', 'RAJ', 'HOWARD', 'LEONARD', 'HOWARD', 'SHELDON']",BBT,True
How nice. Maybe they can carpool when they visit you in federal prison.,SHELDON,"['So my friend Leonard is gonna take you home.', ""Okay. Let's go, friend Leonard."", ""I'll call ya."", 'So are you a scientist like Howard?', ""No one's a scientist like Howard."", 'My mother is so gonna love her.']","['HOWARD', 'PERSON', 'HOWARD', 'PERSON', 'LEONARD', 'HOWARD']",BBT,True
"What do you think I did? I discreetly slipped off the other earring, put it in my pocket and then got the hell out of there!",PERSON,"[""So, we're all standing around looking at the post-op X ray and there it is, clear as day, right in the guy's chest cavity...one of my earrings."", 'Oh, my God, what did you do?']","['PERSON', 'LEONARD']",BBT,False
The blunt instrument that will be the focus of my murder trial?,LEONARD,"['What, Sheldon? What, Sheldon?! What, Sheldon?!', 'Tell me what you see here.']","['LEONARD', 'SHELDON']",BBT,True
Would it work if I just punched you in the face?,LEONARD,"['it will establish you as the ""alpha"" male.', 'You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin.', 'If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love.""', 'Huh']","['SHELDON', 'SHELDON', 'SHELDON', 'LEONARD']",BBT,False
Answering the question once and for all why Wolowitz bailed out of medical school.,RAJ,"['Can you open this for me?', 'Can I see your stitches?', 'Sure.']","['LEONARD', 'RAJ', 'LEONARD']",BBT,False
My aunt Marion gave them to me for my 12th birthday.,SHELDON,"['What are you doing here?', ""Hang on. 130 over 80. It's a little high."", 'We can attribute that to the stress of sneaking past the security desk.', 'Where did you get the stethoscope and the blood pressure cuff?']","['PERSON', 'SHELDON', 'SHELDON', 'PERSON']",BBT,False
You were right. Your larynx is terribly inflamed. I've never seen anything like it.,PERSON,"['Oh no', 'What?']","['PERSON', 'SHELDON']",BBT,True
"""Dave."" Sounds like Leonard's got a new BFF.",HOWARD,"['There are always do-overs when my people play sports.', ""Where were you that's more important than Wii bowling night?"", 'Actually...', ""It's rhetorical.\nThere is nothing more important than Wii bowling night."", ""Come on, it's just a video game. And we suck at it."", 'Nice motivational speech from the team captain.', 'Where were you?']","['HOWARD', 'SHELDON', 'LEONARD', 'SHELDON', 'LEONARD', 'SHELDON', 'SHELDON']",BBT,True
"If you don't like this stuff, let's go next door and build her a bear.",RAJ,"[""You're kidding. You've got lotions and bath oils and soaps. That's the estrogen hat trick."", 'What it is is a cacophonous assault of eucalyptus, bayberry, cinnamon and vanilla.', ""It's as if my head were trapped in the pajamas of a sultan.""]","['HOWARD', 'SHELDON', 'SHELDON']",BBT,True
"- Maybe I heard you wrong. A lot of words sound like ""yoga.""",LEONARD,"['Leonard. Come, join us.', 'Hey, Dave.\nAnd Penny, what a surprise.', 'Dave was just showing me around the university. This place is unbelievable!', ""I know, I've been offering to show you around for a year and a half. You always said you had yoga.""]","['PERSON', 'LEONARD', 'PENNY', 'LEONARD']",BBT,True
Why don't you just lie down on the floor and swim there?,LEONARD,"['Where are we going?', ""You're driving me to the mall."", ""I'm going to acquire a book that summarizes the current theories in the field of friend-making.""]","['LEONARD', 'SHELDON', 'SHELDON']",BBT,True
I hope I'm a waitress at the Cheesecake Factory for my whole life.,PENNY,"['Ask me why.', 'Do I have to?', ""Of course. That's how you move a conversation forward."", 'Why?', 'The learning opportunities would be abundant.', 'Additionally, I like having my belly scratched.']","['SHELDON', 'LEONARD', 'SHELDON', 'LEONARD', 'SHELDON', 'SHELDON']",BBT,True
"When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience.",PENNY,"['Hey.', 'Hey.', 'A little mood lighting, huh?']","['LEONARD', 'PENNY', 'LEONARD']",BBT,True
There's no hurry. Tell them more about their secret love for each other.,LEONARD,"['Say what?', ""That's basically what I just said."", 'You brought your husband to work. You know the rules.', 'Mesa thinking yousa looking pretty sad now too, betcha, betcha.', ""Leonard, it's 1:00. Weren't you going to show me your laboratory at 1:00?""]","['HOWARD', 'HOWARD', 'LEONARD', 'LEONARD', 'PERSON']",BBT,False
"Kind of makes you feel more alive, doesn't it?",PERSON,"['but wait to be captured or killed.', ""That's the worst part, the waiting."", ""All the while knowing that there's a paint pellet out there with your name on it."", 'The big wet ball of death.']","['HOWARD', 'PERSON', 'HOWARD', 'PERSON']",BBT,True
"Assuming I can keep up this pace, three hours, 11 minutes. Plus however long it takes to conclude this fairly pointless conversation.",SHELDON,"['See, by attaching RFID tags to my clothing, it will enable my laptop to read and identify the items with this wand.', 'I will then cross-reference them against destination, anticipated activity spectrum, weather conditions, duration of trip, et cetera.', 'That does sound much simpler.', 'How long is this going to take?']","['SHELDON', 'SHELDON', 'LEONARD', 'LEONARD']",BBT,True
"Excuse me, but what about me? Why don't I get a shot?",LEONARD,"[""Unlike you, I can actually talk to women when I'm sober."", 'You fail to take into account that even mute, I am foreign and exotic, while you, on the other hand, are frail and pasty.', 'You know the old saying, ""Pasty and frail never fail.""']","['HOWARD', 'RAJ', 'HOWARD']",BBT,False
"So? Do cocaine smugglers write ""cocaine"" on the box?",SHELDON,"[""They're here."", ""Stay calm. We don't know anything about them yet."", 'What are you doing?', ""I'm checking for musical instruments."", 'Does that sound like castanets to you?', 'The box says ""kitchen.""']","['SHELDON', 'LEONARD', 'LEONARD', 'SHELDON', 'SHELDON', 'LEONARD']",BBT,True
Thank you so much for giving me the opportunity to help.,LEONARD,['Thanks so much for helping me.'],['PERSON'],BBT,False
You know this can go on all night. Why don't you just come with us?,LEONARD,"['Or pick out his career for him without knowing his aptitude. Or pick out a new breakfast cereal without knowing his fiber requirements.', 'Or his feelings about little marshmallows.', 'Spider-Man. Get him Spider-Man.', 'Amazing Spider-Man, Ultimate Spider-Man, Spectacular Spider-Man, The Marvelous Adventures of Spider-Man, Spider-Man 2099?', 'You know this can go on all night.']","['SHELDON', 'SHELDON', 'PENNY', 'SHELDON', 'PENNY']",BBT,False
Provided he has already read and is familiar with the reestablishment of the DC multiverse.,SHELDON,"[""Everybody's staring at me."", ""Don't worry, they're more scared of you than you are of them."", 'Unlikely.', 'Here, what about this one for my nephew?', 'A superb choice.', 'Oh, great.']","['PENNY', 'LEONARD', 'PENNY', 'PENNY', 'SHELDON', 'PENNY']",BBT,False
"You think ""coffee,"" means coffee. That is so sweet.",PENNY,"[""Come on. I think it's nice that Captain Sweatpants showed up to your art opening."", ""Yeah, it would have been nicer if he hadn't touched all the cheese."", ""You know, it's kind of early.\nDo you want to maybe come in for some coffee?"", ""Gee, it's a little late for coffee, isn't it?""]","['PENNY', 'PERSON', 'PENNY', 'PERSON']",BBT,True
"You don't really believe in that superstition, do you?",SHELDON,"['This thing has to hold up against a hearty potato-based diet.', 'I feel terrible', ""Maybe if you were helping, you'd feel better about yourself."", ""I deliberately tried to sabotage Stuart's date with Penny."", 'Of course you feel terrible. You completely screwed up your karma.']","['HOWARD', 'LEONARD', 'HOWARD', 'LEONARD', 'RAJ']",BBT,False
"Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?",HOWARD,"[""It's actually a very elegant system. You know, what goes around comes around."", 'Speaking of what goes around comes around...', 'Okay, look. Instead of trying to reinforce this structure here, what if we just ran another line, bypass it entirely?', ""It won't work. The diameter of the tubing is insufficient."", 'What if we reposition the collection tank?', ""It won't work. No way to mount it.""]","['RAJ', 'HOWARD', 'RAJ', 'SHELDON', 'RAJ', 'SHELDON']",BBT,True
Hardly a day goes by when I don't think about it.,LEONARD,"[""You went to President Seibert's house in the middle of the night?"", ""He didn't respond to my e-mail, his phone number is unlisted. Tell me what my other option was."", 'You could have waited until morning.', ""I know, look who I'm talking to."", 'Do you remember the grant proposal I submitted to the National Science Foundation to detect slow-moving monopoles at the magnetic North Pole?']","['LEONARD', 'SHELDON', 'LEONARD', 'LEONARD', 'SHELDON']",BBT,True
"Sure, maybe a tableau of me trying to pummel you to death.",LEONARD,"[""Of course not. I'm a theoretical physicist.\nA career I chose in no small part because it's indoors, but if I'm able to detect slow-moving magnetic monopoles there, I will be the scientis to confirm string theory."", 'People will write books about me.', 'Third-graders will create macaroni-art dioramas depicting scenes from my life.']","['SHELDON', 'SHELDON', 'SHELDON']",BBT,True
"Terrific, it's just that... I don't think Penny wants me to go.",LEONARD,"[""I don't think I can go to the North Pole."", ""I know you're concerned about disappointing me but I want you to take comfort from the knowledge that my expectations of you are very low."", ""Yeah, that's very comforting."", ""Comforting is a part of leadership.\nIt's not a part I care for, but such is my burden.""]","['LEONARD', 'SHELDON', 'LEONARD', 'SHELDON']",BBT,False
What did you mean when you said you were going to miss me?,LEONARD,"['What time is it?', ""It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you.""]","['PENNY', 'LEONARD']",BBT,False
"Ooh, big talk from a man who was once treed by a chicken.",RAJ,"[""Don't push me, Sheldon.\nI may be small, but I took kung fu when I was 13, and I remember a good deal of it."", 'Oh, really?', 'Well, I grew up with an older brother and a very contentious twin sister.', 'And I believe I could easily best you in any physical confrontation-- be it noogies, swirlies or the classic ""Why are you hitting yourself?""']","['HOWARD', 'SHELDON', 'SHELDON', 'SHELDON']",BBT,True
"No, I mean, we can always go back to being friends.",PENNY,"[""like Mrs. Riley' s chicken."", ""What's Mrs. Riley's chicken?"", 'A chicken that was owned by Mrs. Riley.', 'Okay, forget the chicken.', 'Well, I wish I could.', 'No, no. You may be right about me and Leonard.', ""Of course I'm right What are the odds I'd be wrong twice in one week?""]","['SHELDON', 'PENNY', 'SHELDON', 'PENNY', 'SHELDON', 'PENNY', 'SHELDON']",BBT,False
It's an iCal download. She can put it right in her phone.,SHELDON,"['Alright, want some French toast?', ""It's oatmeal day."", ""Tell you what, next French toast day, I'll make you oatmeal."", 'Dear Lord, are you still going to be here on French toast day?', 'Morning.', 'Look, Leonard, Penny made French toast.', ""Sorry, I haven't given her your schedule yet.""]","['PENNY', 'SHELDON', 'PENNY', 'SHELDON', 'LEONARD', 'SHELDON', 'LEONARD']",BBT,True
"You know, I've always wanted to go to a Goth nightclub.",SHELDON,"['Howard, what did you do?', ""They're called tattoo sleeves. Look."", 'I got them online. Raj got a set, too.', 'Fantastic, right?', 'Put them on, have hot sex with some freaky girl with her business pierced, take them off, and I can still be buried in a Jewish cemetery.']","['LEONARD', 'HOWARD', 'HOWARD', 'HOWARD', 'HOWARD']",BBT,True
"No, I'm behind on my Wiki-reading. I'm kind of on a John Grisham kick right now.",RAJ,"[""I think we're fitting in quite nicely."", ""It'd help if you weren't drinking light beer."", ""What's so gothic about vodka and cranberry juice?"", 'Hello? It looks like blood.', 'Did you even read the ""Wiki how"" link I sent you on being Goth?']","['RAJ', 'HOWARD', 'RAJ', 'HOWARD', 'HOWARD']",BBT,False
"- Chocolate? - No, I don't want any chocolate!",LEONARD,"[""You'll never guess who they got to replace you at work."", ""Okay, I know what you're doing."", 'Really?', ""Yes, you're using chocolates as positive reinforcement for what you consider correct behaviour.\nVery Good.""]","['LEONARD', 'SHELDON', 'LEONARD', 'SHELDON']",BBT,False
"Oh, you know, Goth stuff. Goth magazines, Goth music.",HOWARD,"['So, what do you guys do?']",['PERSON'],BBT,False
"Obviously, waitressing at The Cheese Cake Factory is a complex socio-economic activity that requires a great deal of analysis and planning.",SHELDON,"[""My God, she didn't!"", 'What could she possibly be talking about for so long?']","['PENNY', 'LEONARD']",BBT,True
When I have enough to destroy all the human toast on the Battlestar known as Galactica.,SHELDON,['When are you going to stop making Cylon toast?'],['LEONARD'],BBT,True
Seems like an awful lot of trouble to go through for intercourse.,SHELDON,"[""Am I correct in assuming that your attempt to be accepted by Penny's peers is based on your desire to ensure your continuing mating privileges with her?"", ""Well, I wouldn't put it exactly that way."", 'How would you put it?', 'Yeah, okay, like you said.']","['SHELDON', 'LEONARD', 'SHELDON', 'LEONARD']",BBT,False
"But if she dumps you, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one.",HOWARD,"['Let me ask you something.', ""Do you think it's okay for Penny to have an ex-boyfriend sleep on her couch?"", ""No, I mean, she's obviously way out of line."", 'Thank you!']","['LEONARD', 'LEONARD', 'HOWARD', 'LEONARD']",BBT,True
"Not a great movie, but look at that beautiful desert.",RAJ,"['We did it. We have the west coast feed of hbo.', 'Ooh,real sex.', ""Big deal. Every time I watch that show, it's old women putting condoms on cucumbers."", ""All right,let's see what's on the east coast feed."", 'Dune.']","['RAJ', 'HOWARD', 'RAJ', 'LEONARD', 'RAJ']",BBT,False
Right. That was so good! Sweety and meaty at the same time.,RAJ,"['Anything?', 'No. that was the last pudding cup.', 'No! What about slim jims', 'Thats what he used to eat his pudding, remember?']","['HOWARD', 'LEONARD', 'HOWARD', 'LEONARD']",BBT,False
"I'm sorry, fiddling with yourself in the bathtub is a real class act.",PERSON,"['So nice you could join me this evening.', ""You're looking lovely as always."", 'Thanks, Howard.  Always nice to be part of your masturbatory fantasies.', ""Come on, Katee. Don't make it sound so cheap.""]","['HOWARD', 'HOWARD', 'PERSON', 'HOWARD']",BBT,True
"No, I mean Princess Leia. Of course I mean Bernadette. She's a wonderful girl and she really likes you.",PERSON,"['Thank you.', 'So, shall we get started?', 'Sure.\nBut can I ask you a question first?', 'Do you want to play Cylon and colonist?', ""I want to know why you're playing make-believe with me when you could be out with a real woman tonight."", 'You mean, Bernadette?']","['HOWARD', 'HOWARD', 'PERSON', 'HOWARD', 'PERSON', 'HOWARD']",BBT,True
"Oh, sure. And while we're at it, why don't we put our hands behind our backs, have an old-fashioned eating contest?",SHELDON,"['I told my girlfriend Bernadette she could join us for dinner.', 'Sure. The more, the merrier.', ""Wa- no, that's a false equivalency. More does not equal merry."", ""If there were 2,000 people in this apartment right now, would we be celebrating?\nNo, we'd be suffocating."", 'Sheldon...', 'Don\'t ""Sheldon"" me. We ordered for five people, not six.', ""Oh, come on, it's fine. We'll just put it all on the table, you know, family style.""]","['HOWARD', 'LEONARD', 'SHELDON', 'SHELDON', 'LEONARD', 'SHELDON', 'PENNY']",BBT,True
Leonard's work is nearly as amazing as third graders growing lima beans in wet paper towels.,SHELDON,"['I am.\nAre you interested in physics?', ""Oh, I find it fascinating. If I hadn't gone into microbiology, I probably would have gone into physics.\nOr ice dancing."", ""Actually, my tests of the Aharonov-Bohm quantum interference effect have reached an interesting point. Right now, we're testing the phase shift due to an electric potential."", ""That's amazing."", 'Yes.']","['LEONARD', 'BERNADETTE', 'LEONARD', 'BERNADETTE', 'SHELDON']",BBT,True
"Okay, I got a bone to pick with you.",HOWARD,"[""That's why Leonard does it."", 'Okay, I just have one question. What exactly are sub-atomic particles?', 'A good question.', 'Thank you.', 'And to answer it, we first must ask ourselves: ""What is physics?"" Oh, balls. It\'s a warm summer evening in ancient Greece.']","['SHELDON', 'PENNY', 'SHELDON', 'PENNY', 'SHELDON']",BBT,False
"Raj, you should've seen Leonard's experiment. The interference pattern was so cool when the electron beam was on.",BERNADETTE,"['Should I give him another chance?', ""It's up to you. He didn't call your experiment stupid."", 'Come here, tushy face.', '""Tushy face. "" Raj, you should\'ve seen Leonard\'s experiment.']","['BERNADETTE', 'LEONARD', 'BERNADETTE', 'LEONARD']",BBT,False
"I was going to ask Leonard to do it, but he seemed a bit emotionally unstable and you don't want someone like that operating heavy machinery.",PERSON,"['Thank you for driving me back to my hotel.', ""Oh,it's not a problem.""]","['PERSON', 'PENNY']",BBT,False
"Oh, we don't need to talk about that anymore. Leonard covered it pretty well in the car.",PENNY,"['So, what should we talk about?', 'Well, we could always learn more about why people who believe in psychics are idiots. Leonard?']","['BERNADETTE', 'HOWARD']",BBT,True
Don't you think looking for a new city to live in is a bit of an overreaction?,LEONARD,"['My new computer came with Windows 7.', 'Windows 7 is much more use r- friendly than Windows Vista.', ""I don't like that.""]","['SHELDON', 'SHELDON', 'SHELDON']",BBT,False
"I understand your point, but given a choice, Jews always go with Chinese food.",HOWARD,"[""There's a 39.95 lover's special at P.F. Chang's."", 'Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front.', ""Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder?""]","['HOWARD', 'HOWARD', 'SHELDON']",BBT,True
